#Id;label;definition;SuperCategory;synonyms

BBP_nlx_0001;Leak ionic current;General leaking ionic current, including different potential ionic sources (i.e., Na channels, k channels, ...).;"NIFMOL:nifext_8054";""
BBP_nlx_0002;Sodium leak current;Sodium leaking ionic current.;"NIFMOL:nifext_8055";""
BBP_nlx_0003;Sodium transient fast current;"Fast, transient, inactivating sodium current [NeuronDB: I Na,t].";"NIFMOL:nifext_8055";""
BBP_nlx_0004;Sodium transient slow current;"Slow, transient, inactivating sodium current.";"NIFMOL:nifext_8055";""
BBP_nlx_0005;Sodium pesistent current;"Persistent (or noninactivating) sodium current [NeuronDB: I Na,p].";"NIFMOL:nifext_8055";""
BBP_nlx_0006;Potassium delayed rectifier;"Delayed rectifier, slowly inactivating or non-inactivating [NeuronDB: I K].";"NIFMOL:nifext_8056";""
BBP_nlx_0007;Potassium leak current;"Potassium leaking ionic current [NeuronDB: I K,leak].";"NIFMOL:nifext_8056";""
BBP_nlx_0008;M-type potassium current;"Muscarinic receptor-suppressed potassium current [NeuronDB: I M]";"NIFMOL:nifext_8056";""
BBP_nlx_0009;Fast voltage- and calcium-dependent potassium current;"Fast voltage- and [Ca2+]-dependent potassium current [subclass of NeuronDB I K,Ca].";"NIFMOL:nifext_8060";""
BBP_nlx_0010;Slow calcium-dependent AHP potassium current;"Slow [Ca2+]-dependent, afterhyperpolarization potassium current [subclass of NeuronDB I K,Ca].";"NIFMOL:nifext_8060";""
BBP_nlx_0011;Low threshold calcium T-current;"Low-threshold inactivating, transient calcium current [NeuronDB: I T low threshold].";"NIFMOL:nifext_8057";""
BBP_nlx_0012;Slow high threshold calcium current;"High-threshold slow or non-inactivating calcium current [NeuronDB: I L high threshold].";"NIFMOL:nifext_8057";""
BBP_nlx_0013;q- and p-type calcium current;"Includes both p-type and q-type calcium currents [NeuronDB: I p,q].";"NIFMOL:nifext_8057";""
BBP_nlx_0014;N-type calcium current;"Rapidly inactivating calcium current with threshold around -20 mV. Underlies Ca2+ spikes that are prominent in dendrites. Involved in synaptic transmission [NeuronDB: I N].";"NIFMOL:nifext_8057";""
BBP_nlx_0015;Calcium activated chloride current;"Calcium activated chloride current. Can enhance or decrease response depending on the Cl- equilibrium potential [NeuronDB: I Cl,Ca].";"NIFMOL:nifext_8058";""
BBP_nlx_0016;Calcium activated nonspecific cation current;"Calcium Activated Nonspecific cation current [NeuronDB: I CAN].";"NIFMOL:nifext_8059";""
BBP_nlx_0017;Cyclic-nucleotide gated nonspecific cation current;"Cyclic-Nucleotide Gated nonspecific cation channel [NeuronDB: I CNG].";"NIFMOL:nifext_8059";""
BBP_nlx_0018;Inward rectifier (h-type) current;"Inward rectifier ('Queer'), activated by hyperpolarization, cyclic-nucleotide gated mixed cation current. Prevents strong hyperpolarization; increases membrane resistance during membrane depolarization [NeuronDB: I h]. See (Luthi and McCormick, 1998, Neuron, pp.9-12)";"BBP_nlx_0017";""
BBP_nlx_0019;Potassium inward rectifier (Kir) current;"Potassium inward rectifier activated by hyperpolarization. [included in I h in NeuronDB]. See (Lee and Ishida, 2007, J Neurophysiol, pp.3790-9)";"NIFMOL:nifext_8056";""
BBP_nlx_0020;Fast voltage-gated potassium (Kf) current;"Fast voltage-gated potassium current. See (Kang, Huguenard and Prince, 2000, J Neurophysiol, pp.70-80)";"NIFMOL:nifext_8056";""
nlx_57050;Brain region role;Role assigned to particular brain regions according to some criteria that distinguishes among different territories, e.g., association cortex, thalamic relay nucleus;"BFO:0000023";""
Nlx_137281;Thalamic relay nucleus;A thalamic nucleus that receives a well-defined subcortical input as part of one or the sensory or motor pathways whose cells project to the middle layers of a restricted region of cerebral cortex and receive a reciprocal projection from the same region of cortex. This designation is based on an organizational scheme proposed by Jones (1985), although it is recognized to be an oversimplification of thalamic organization. (adapted from Paxinos, The Rat Nervous System, 2nd ed, Academic Press, 1995.;nlx_57050;""
nlx_151963;Higher order thalamic relay nucleus;A thalamic relay nucleus that relays information from layer 5 of one cortical area to another, as distinguished from a first order relay nucleus that transmits subcortical information to the cortex, as proposed by Sherman and Guillery. All thalamic relays receive a layer-6 modulatory input from cortex, but higher-order relays in addition receive a layer-5 driver input, e.g., pulvinar nucleus.;Nlx_137281;""
nlx_151962;First order thalamic relay nucleus;Thalamic relay nucleus that relays subcortical information to the cortex for the first time, as proposed by Sherman and Guillery, e.g., lateral geniculate nucleus. First order relay nuclei are distinguished from higher order relay nuclei, e.g., the pulvinar, which relay information from the cortex itself.;Nlx_137281;""
nlx_151691;Thalamus ventroposterior nucleus principal neuron;;"NIFCELL:sao1417703748";""



